subject_id,metric,baseline_n,stress_n,baseline_mean,stress_mean,delta_b_minus_a,wilcoxon_p
S4,hr_abs_diff,230,126,6.9472314746059896,11.84677183040295,4.899540355796961,5.563753194346673e-08
S4,orphanidou_template_corr,230,126,0.7374478113329423,0.6905509889562406,-0.046896822376701786,0.025013526885458704
S5,inhouse_ppg_sqi,239,128,0.9894769516719593,0.9661271663056727,-0.023349785366286513,1.973209191196413e-30
S5,inhouse_ecg_sqi,239,128,0.9866349116915943,0.984109263180758,-0.0025256485108363647,2.5026753676123434e-08
S5,inhouse_ppg_motion,239,128,0.019132815141892356,0.06158697035332241,0.042454155211430054,1.973209191196413e-30
S5,hr_abs_diff,239,128,13.96071408035782,12.053874591660431,-1.906839488697388,0.730219669028497
S5,orphanidou_template_corr,239,128,0.736594405158278,0.661708377902461,-0.07488602725581706,0.00023360113368073115
S6,inhouse_ppg_sqi,235,129,0.9887097207240652,0.9910640630765472,0.0023543423524819973,1.3490009653004082e-07
S6,inhouse_ecg_sqi,235,129,0.9909506791858602,0.9852144012069334,-0.00573627797892684,6.901774980186997e-11
S6,inhouse_ppg_motion,235,129,0.020527780501699736,0.016247158042641777,-0.00428062245905796,1.3490009653004082e-07
S6,hr_abs_diff,235,129,7.933339167008287,8.992905130378382,1.059565963370095,0.30206169617583456
S6,orphanidou_template_corr,235,129,0.7434487084067176,0.699314929563801,-0.04413377884291658,0.018989257763195527
S7,inhouse_ppg_sqi,236,127,0.9877988946888346,0.9795110212855952,-0.008287873403239443,2.0457620754276654e-06
S7,inhouse_ecg_sqi,236,127,0.9906818304891172,0.9892884219507373,-0.001393408538379881,0.26898275418240036
S7,inhouse_ppg_motion,236,127,0.022183827838482627,0.0372526885716453,0.015068860733162673,2.0457620754276654e-06
S7,hr_abs_diff,236,127,7.698074295268518,15.328614040052749,7.6305397447842305,7.322423029069947e-14
S7,orphanidou_template_corr,236,127,0.8436255260197523,0.6980784333481245,-0.1455470926716278,9.877791612426421e-16
S8,inhouse_ppg_sqi,233,133,0.9910611435089377,0.9897473756111391,-0.001313767897798579,0.40336596213444
S8,inhouse_ecg_sqi,233,133,0.9871902653145701,0.9888654443134555,0.0016751789988853627,0.0010088101512232468
S8,inhouse_ppg_motion,233,133,0.01625246634738584,0.01864113525247439,0.0023886689050885493,0.40336596213444
S8,hr_abs_diff,233,133,5.967248225332066,10.00775017907835,4.0405019537462845,2.54977895404558e-10
S8,orphanidou_template_corr,233,133,0.8398284242847335,0.7125355579290109,-0.12729286635572257,6.618130366739823e-16
S9,inhouse_ppg_sqi,235,128,0.9882415301669815,0.9860123964624009,-0.002229133704580555,0.005918305604548197
S9,inhouse_ecg_sqi,235,128,0.9779068978987093,0.9761398037873189,-0.0017670941113904215,0.024865550713914504
S9,inhouse_ppg_motion,235,128,0.02137903606003363,0.025432006431998513,0.004052970371964882,0.005918305604548197
S9,hr_abs_diff,233,127,7.104101848109285,9.065998282654155,1.9618964345448697,0.0072945502132769095
S9,orphanidou_template_corr,235,128,0.8056476239196868,0.7460499499883632,-0.05959767393132365,0.0001415495625051544
