n_windows,mean_absolute_error_bpm,bias_ppg_minus_ecg_bpm,loa_lower_bpm,loa_upper_bpm,pearson_r,pearson_p,fraction_within_5_bpm,fraction_within_10_bpm,subject_id,stratum
235,9.586701113464287,8.66366354692854,-10.689019286644971,28.01634638050205,0.5111016188711633,4.8516454820005226e-17,0.4425531914893617,0.6382978723404256,S16,baseline
130,12.831563998223006,-10.563369517203443,-40.66341045410528,19.5366714196984,0.4726845901481431,1.3599301369793228e-08,0.4230769230769231,0.4846153846153846,S16,stress
452,9.217909232556378,-0.7095227798025624,-26.545137374528007,25.126091814922884,0.8325253152475598,1.6946492579511692e-117,0.45353982300884954,0.672566371681416,S17,all
73,8.309108232559213,5.7220736563575185,-13.03456999927753,24.47871731199257,0.47455616676842277,2.2188356656048057e-05,0.4520547945205479,0.684931506849315,S17,amusement
235,6.534567567890841,3.7991702570995103,-13.336685391376276,20.935025905575298,0.6119620994057187,1.5442325670592099e-25,0.548936170212766,0.8085106382978723,S17,baseline
144,14.05768537280773,-11.327921415300292,-39.64513769123943,16.98929486063884,0.5016319331044989,1.5071810812711097e-10,0.2986111111111111,0.4444444444444444,S17,stress
420,11.085383665719995,9.725084141232077,-12.737649780935985,32.187818063400144,0.4356256370069336,7.028184647811549e-21,0.36904761904761907,0.5738095238095238,S2,all
72,13.173850063898032,11.729098189462755,-12.939624026802262,36.39782040572777,0.48947616634110813,1.28059744577682e-05,0.3333333333333333,0.5138888888888888,S2,amusement
226,8.325227555543995,7.037147816715279,-12.174111186237347,26.248406819667906,0.4191067547572381,5.0105642053661494e-11,0.4778761061946903,0.6902654867256637,S2,baseline
122,14.965922192203251,13.521679205725414,-10.706827739670311,37.75018615112114,0.13935308924384146,0.1258090972780347,0.1885245901639344,0.39344262295081966,S2,stress
428,17.949892824649933,15.762518064734982,-17.37528872849954,48.90032485796951,0.5173660084153087,1.1305967917210116e-30,0.2383177570093458,0.39953271028037385,S3,all
74,33.11661478706416,33.06145937009531,7.172121921485903,58.95079681870471,0.05374718321290441,0.6492471253786696,0.02702702702702703,0.05405405405405406,S3,amusement
227,16.432695930374255,15.857555190112828,-12.790240696255138,44.50535107648079,0.2705631079351709,3.6078701291963346e-05,0.2907488986784141,0.44052863436123346,S3,baseline
127,11.82443038198793,5.51295047373155,-22.397843967284313,33.42374491474742,0.49113926120572104,4.555793395968639e-09,0.2677165354330709,0.5275590551181102,S3,stress
429,8.069197643287279,6.436350399906839,-11.590040262626843,24.46274106244052,0.7595881881627684,8.599531076726311e-82,0.46853146853146854,0.7062937062937062,S4,all
73,5.083963002467023,4.197805950707606,-7.3804625675189595,15.776074468934171,0.6423618854866401,9.021940254848362e-10,0.6027397260273972,0.9178082191780822,S4,amusement
230,6.9472314746059896,5.545659520263942,-10.248841720075411,21.340160760603297,0.5654806623674882,7.745099422920931e-21,0.5391304347826087,0.7434782608695653,S4,baseline
126,11.84677183040295,9.359149186489464,-13.629160097378755,32.34745847035768,0.10778936148151474,0.22960465281434703,0.2619047619047619,0.5158730158730159,S4,stress
441,14.381382915204027,12.870863932352572,-14.116932343093596,39.85866020779874,0.5550679937294418,5.289021513030299e-37,0.2766439909297052,0.4512471655328798,S5,all
74,19.765989900904366,19.719678498221853,-4.134547141725182,43.573904138168885,0.1283981794043953,0.2756079236328124,0.0945945945945946,0.2702702702702703,S5,amusement
239,13.96071408035782,13.431548939104408,-13.177434791373239,40.040532669582056,0.26270153451428935,3.915063956199254e-05,0.34309623430962344,0.4686192468619247,S5,baseline
128,12.053874591660431,7.86448897541495,-17.92550804525085,33.65448599608075,-0.11494323455872849,0.19636963707544416,0.2578125,0.5234375,S5,stress
437,8.707706487586002,6.714386155626655,-11.784500620280479,25.21327293153379,0.4945058598901248,2.4931387832006273e-28,0.41189931350114417,0.6544622425629291,S6,all
73,10.696551630264711,9.632577674423077,-8.035242332571363,27.300397681417515,0.6105079782177665,9.760356594711746e-09,0.3013698630136986,0.5068493150684932,S6,amusement
235,7.933339167008287,6.450655733372652,-10.452525954580768,23.353837421326073,0.4553811731964805,1.9688239264858358e-13,0.43829787234042555,0.6978723404255319,S6,baseline
129,8.992905130378382,5.543445600258842,-15.510759371497961,26.597650572015645,0.12972021737259337,0.14286739410202887,0.4263565891472868,0.6589147286821705,S6,stress
436,10.935691650849101,8.35535898047021,-15.198155543610277,31.908873504550698,0.5760281706485176,6.668527395191982e-40,0.3532110091743119,0.591743119266055,S7,all
73,13.76002798630327,13.316956380560864,-8.904594735149931,35.53850749627166,-0.18242482858169645,0.12241153790970855,0.3013698630136986,0.4383561643835616,S7,amusement
236,7.698074295268518,6.302437298461216,-11.103489804677453,23.708364401599887,0.5194925962919723,1.0329724228512565e-17,0.4703389830508475,0.7542372881355932,S7,baseline
127,15.328614040052749,9.318295254072607,-21.9760900042356,40.61268051238082,0.21753586704195094,0.014019570221609812,0.16535433070866143,0.3779527559055118,S7,stress
439,6.974196946859535,2.038473171975739,-16.640497492999383,20.71744383695086,0.6565618052069413,1.748505159693128e-55,0.5170842824601367,0.7608200455580866,S8,all
73,4.661271908925253,2.1359048260143916,-9.848961448068556,14.120771100097338,0.7452195190382754,4.00341145156047e-14,0.6712328767123288,0.863013698630137,S8,amusement
233,5.967248225332066,4.65882440766453,-10.314778364318673,19.63242717964773,0.5506675640886848,7.097070588304406e-20,0.6008583690987125,0.8240343347639485,S8,baseline
133,10.00775017907835,-2.605544487124335,-26.169417112083195,20.958328137834528,0.15615733711724433,0.07266595950077487,0.2857142857142857,0.5939849624060151,S8,stress
432,7.078007816670301,4.718623473400441,-12.238341349753053,21.675588296553936,0.4588238300484063,7.047593462474656e-24,0.5162037037037037,0.7361111111111112,S9,all
72,3.4869703374309577,2.103612795356322,-7.743330690988718,11.950556281701363,0.5503293546807786,5.500747591084329e-07,0.75,0.9305555555555556,S9,amusement
233,7.104101848109285,4.8682596196053005,-11.732653906595694,21.469173145806295,0.3606517999873083,1.4499248843826182e-08,0.5021459227467812,0.7381974248927039,S9,baseline
127,9.065998282654155,5.926619904529918,-14.090130490442455,25.94337029950229,0.41883655085895427,9.55357817923386e-07,0.4094488188976378,0.6220472440944882,S9,stress
