subject_id,metric,baseline_n,amusement_n,baseline_mean,amusement_mean,delta_b_minus_a,wilcoxon_p
S14,hr_abs_diff,235,73,4.04141994024666,5.046682042459917,1.0052621022132566,0.21813560962127998
S14,orphanidou_template_corr,235,73,0.7706417539829092,0.7309274112232558,-0.039714342759653465,0.016369941213234294
S15,inhouse_ppg_sqi,234,73,0.9807168280993536,0.9838699456847441,0.003153117585390497,0.647237936496046
S15,inhouse_ecg_sqi,234,73,0.9885877843683509,0.9919300253963226,0.0033422410279716486,8.399437140883919e-08
S15,inhouse_ppg_motion,234,73,0.03506031254662985,0.02932737148228349,-0.00573294106434636,0.647237936496046
S15,hr_abs_diff,234,73,6.264705115645013,5.350000467883285,-0.9147046477617282,0.2281371616621668
S15,orphanidou_template_corr,234,73,0.7484126482888706,0.7858103931073345,0.03739774481846392,0.07375602018311173
S16,inhouse_ppg_sqi,235,72,0.9904241354202523,0.9759457575894955,-0.014478377830756783,4.080633335046774e-19
S16,inhouse_ecg_sqi,235,72,0.9852439267790409,0.9847805766942391,-0.00046335008480180573,0.4813717907085133
S16,inhouse_ppg_motion,235,72,0.017410662872268483,0.043734986200917106,0.026324323328648622,4.080633335046774e-19
S16,hr_abs_diff,235,72,9.586701113464287,5.325154358538989,-4.261546754925297,0.0001242238333196395
S16,orphanidou_template_corr,235,72,0.7205417396978503,0.7100146849608202,-0.010527054737030084,0.5539802051176478
S17,inhouse_ppg_sqi,235,73,0.994189289439229,0.9868440067016678,-0.007345282737561187,4.327669672157706e-14
S17,inhouse_ecg_sqi,235,73,0.9883472884497949,0.9857719489699723,-0.0025753394798225804,0.005428051514474271
S17,inhouse_ppg_motion,235,73,0.01056492829231107,0.023919987815149285,0.013355059522838214,4.327669672157706e-14
S17,hr_abs_diff,235,73,6.534567567890841,8.309108232559213,1.774540664668372,0.023968978532068516
S17,orphanidou_template_corr,235,73,0.8029675040348027,0.7355555505558214,-0.06741195347898121,1.9481007350915197e-05
S2,inhouse_ppg_sqi,228,72,0.9889700703311336,0.9882204733918394,-0.000749596939294217,0.779087314514977
S2,inhouse_ecg_sqi,228,72,0.9865634211560956,0.9821554589262534,-0.004407962229842188,0.0013625288795426009
S2,inhouse_ppg_motion,228,72,0.020054417579757306,0.021417321105746758,0.001362903525989452,0.779087314514977
S2,hr_abs_diff,226,72,8.325227555543995,13.173850063898032,4.848622508354037,0.0010353184522201397
S2,orphanidou_template_corr,228,72,0.8218248005319716,0.7368298392898782,-0.08499496124209338,2.5103982203011954e-05
S3,inhouse_ppg_sqi,227,74,0.9864140044510958,0.97563007481093,-0.010783929640165835,1.8850419478628408e-10
S3,inhouse_ecg_sqi,227,74,0.9874884626419601,0.9885589286698254,0.0010704660278653133,0.3946099587728231
S3,inhouse_ppg_motion,227,74,0.024701810088916663,0.0443089548892181,0.019607144800301436,1.8850419478628408e-10
S3,hr_abs_diff,227,74,16.432695930374255,33.11661478706416,16.683918856689903,3.546901741879808e-15
S3,orphanidou_template_corr,227,74,0.7389169684579968,0.5941282767183408,-0.14478869173965603,1.1155376427924107e-10
S4,inhouse_ppg_sqi,230,73,0.991875988417918,0.9897601366135159,-0.0021158518044021024,0.010356732539042273
S4,inhouse_ecg_sqi,230,73,0.990400312169188,0.9859400119146083,-0.004460300254579663,2.233933606214526e-07
S4,inhouse_ppg_motion,230,73,0.01477093014924004,0.01861793342997136,0.00384700328073132,0.010356732539042273
