subject_id,metric,contrast,n_a,n_b,mean_a,mean_b,median_a,median_b,p_value,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,cohens_d
S5,ppg_motion,baseline_vs_stress,239,128,0.01913,0.06159,0.01334,0.04689,1.985010123662893e-30,-0.726,-0.794,-0.645,-1.374
S5,ppg_sqi,baseline_vs_amusement,239,74,0.98948,0.97951,0.99266,0.98076,1.6316735067504276e-15,0.613,0.511,0.71,0.972
S5,ecg_sqi,baseline_vs_amusement,239,74,0.98663,0.98707,0.98471,0.98341,0.0016588191554866064,0.242,0.053,0.404,-0.077
S5,ppg_motion,baseline_vs_amusement,239,74,0.01913,0.03726,0.01334,0.03499,1.6316735067504276e-15,-0.613,-0.71,-0.511,-0.972
S6,ppg_sqi,baseline_vs_stress,235,129,0.98871,0.99106,0.99013,0.99331,1.3528344584211482e-07,-0.334,-0.449,-0.2,-0.297
S6,ecg_sqi,baseline_vs_stress,235,129,0.99095,0.98521,0.98893,0.98562,6.24912745901979e-11,0.413,0.278,0.54,0.795
S6,ppg_motion,baseline_vs_stress,235,129,0.02053,0.01625,0.01794,0.01216,1.3528344584211482e-07,0.334,0.2,0.449,0.297
S6,ppg_sqi,baseline_vs_amusement,235,73,0.98871,0.98793,0.99013,0.98972,0.6441481255072509,0.036,-0.113,0.2,0.106
S6,ecg_sqi,baseline_vs_amusement,235,73,0.99095,0.99176,0.98893,0.98887,0.8602347593840791,-0.014,-0.18,0.16,-0.148
S6,ppg_motion,baseline_vs_amusement,235,73,0.02053,0.02194,0.01794,0.0187,0.6441481255072509,-0.036,-0.2,0.113,-0.106
S7,ppg_sqi,baseline_vs_stress,236,127,0.9878,0.97951,0.99056,0.98517,2.0510723820346777e-06,0.302,0.178,0.408,0.664
S7,ecg_sqi,baseline_vs_stress,236,127,0.99068,0.98929,0.98848,0.98867,0.2680147165280866,0.07,-0.058,0.174,0.196
S7,ppg_motion,baseline_vs_stress,236,127,0.02218,0.03725,0.01716,0.02697,2.0510723820346777e-06,-0.302,-0.408,-0.178,-0.664
S7,ppg_sqi,baseline_vs_amusement,236,73,0.9878,0.99148,0.99056,0.99259,0.0007753843354025215,-0.26,-0.385,-0.122,-0.465
S7,ecg_sqi,baseline_vs_amusement,236,73,0.99068,0.99166,0.98848,0.98925,0.06890765952121973,-0.14,-0.279,-0.002,-0.178
S7,ppg_motion,baseline_vs_amusement,236,73,0.02218,0.01549,0.01716,0.01346,0.0007753843354025215,0.26,0.122,0.385,0.465
S8,ppg_sqi,baseline_vs_stress,233,133,0.99106,0.98975,0.99291,0.99192,0.4036550500096444,0.053,-0.081,0.184,0.196
S8,ecg_sqi,baseline_vs_stress,233,133,0.98719,0.98887,0.9859,0.98871,0.000982249505880917,-0.207,-0.338,-0.061,-0.178
S8,ppg_motion,baseline_vs_stress,233,133,0.01625,0.01864,0.0129,0.01469,0.4036550500096444,-0.053,-0.184,0.081,-0.196
S8,ppg_sqi,baseline_vs_amusement,233,73,0.99106,0.99002,0.99291,0.99122,0.02677458464736666,0.172,0.013,0.304,0.176
S8,ecg_sqi,baseline_vs_amusement,233,73,0.98719,0.9887,0.9859,0.98672,0.05688576722593623,-0.148,-0.293,-0.002,-0.178
S8,ppg_motion,baseline_vs_amusement,233,73,0.01625,0.01814,0.0129,0.01596,0.02677458464736666,-0.172,-0.304,-0.013,-0.176
S9,ppg_sqi,baseline_vs_stress,235,128,0.98824,0.98601,0.99036,0.98874,0.00592777302016254,0.175,0.053,0.292,0.221
S9,ecg_sqi,baseline_vs_stress,235,128,0.97791,0.97614,0.9747,0.97249,0.024289322784830977,0.142,0.024,0.302,0.092
S9,ppg_motion,baseline_vs_stress,235,128,0.02138,0.02543,0.01752,0.02048,0.00592777302016254,-0.175,-0.292,-0.053,-0.221
S9,ppg_sqi,baseline_vs_amusement,235,74,0.98824,0.96671,0.99036,0.96551,3.6733144921944094e-25,0.799,0.714,0.877,1.885
S9,ecg_sqi,baseline_vs_amusement,235,74,0.97791,0.9736,0.9747,0.96998,4.147821719428059e-06,0.354,0.207,0.52,0.231
S9,ppg_motion,baseline_vs_amusement,235,74,0.02138,0.06053,0.01752,0.06271,3.6733144921944094e-25,-0.799,-0.877,-0.714,-1.885
